REG,STATE,LTYPE,GID,MLRA,FRR,WBD
E_Euro,AL,Irrigated,I00001,NFFSC,HEARTLND,NEW_ENG
N_Afr,AZ,Rainfed,I00002,CSFTSC,N_CRESC,MID_ATL
SSA,AR,,I00003,NWRR,N_GRTPLN,S_ATL_GLF
S_Amer,CA,,I00004,WRI,PRAIRIE_G,GRT_LAKES
AUS_NZ,CO,,I00005,RMRF,E_UPLAND,OH_REG
EU,CT,,I00006,WGPRI,S_SEABRD,TN_REG
S_Asia,DE,,I00007,NGPSW,FRUIT_RIM,UP_MS_REG
CC_Amer,FL,,I00008,CGPWWR,BASIN_RNG,LO_MS_REG
S_Afr,GA,,I00009,SPPRC,MS_PORT,SOURIS
SE_Asia,ID,,I00010,SPCF,,MO_REG
CAN,IL,,I00011,CFGL,,WHITE_RED
US,IN,,I00012,AGCLFC,,TXS_GULF
CHN_MNG,IA,,I00013,ECFF,,RIO_GRND
M_East,KS,,I00014,SAGSCCFL,,UP_CO_REG
JPN_KR,KY,,I00015,NLSFF,,LO_CO_REG
C_Asia,LA,,I00016,MDCFG,,GRT_BASIN
,ME,,I00017,LSFTCD,,PAC_NW
,MD,,I00018,NFF,,CA_REG
,,,I00922,,,
,,,I00923,,,
,,,I00924,,,
,,,I00925,,,
,,,I00926,,,
,,,I00927,,,
,,,I00928,,,
,,,I00929,,,
,,,I00930,,,
,,,I00931,,,
,,,I00932,,,
,,,I00933,,,
,,,I00934,,,
,,,I00935,,,
,,,I00936,,,
,,,I00937,,,
,,,I00938,,,
,,,I00939,,,
,,,I00940,,,
,,,I00941,,,
,,,I00942,,,
,,,I00943,,,
,,,I00944,,,
,,,I00945,,,
,,,I00946,,,
,,,I00947,,,
,,,I00948,,,
,,,I00949,,,
,,,I00950,,,
,,,I00951,,,
,,,I00952,,,
,,,I00953,,,
,,,I00954,,,
,,,I00955,,,
,,,I00956,,,
,,,I00957,,,
,,,I00958,,,
,,,I00959,,,
,,,I00960,,,
,,,I00961,,,
,,,I00962,,,
,,,I00963,,,
,,,I00964,,,
,,,I00965,,,
,,,I00966,,,
,,,I00967,,,
,,,I00968,,,
,,,I00969,,,
,,,I00970,,,
,,,I00971,,,
,,,I00972,,,
,,,I00973,,,
,,,I00974,,,
,,,I00975,,,
,,,I00976,,,
,,,I00977,,,
,,,I00978,,,
,,,I00979,,,
,,,I00980,,,
,,,I00981,,,
,,,I00982,,,
,,,I00983,,,
,,,I00984,,,
,,,I00985,,,
,,,I00986,,,
,,,I00987,,,
,,,I00988,,,
,,,I00989,,,
,,,I00990,,,
,,,I00991,,,
,,,I00992,,,
,,,I00993,,,
,,,I00994,,,
,,,I00995,,,
,,,I00996,,,
